Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","678,224,047.92","6.73","678,224,047.92","5,795,796.00","117.02","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","634,868,211.12","6.30","634,868,211.12","3,951,134.00","160.68","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","532,641,480.09","5.28","532,641,480.09","662,267.00","804.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","476,270,872.00","4.72","476,270,872.00","2,238,115.00","212.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","455,819,470.04","4.52","455,819,470.04","2,437,798.00","186.98","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","434,723,484.05","4.31","434,723,484.05","915,535.00","474.83","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","316,909,770.00","3.14","316,909,770.00","385,535.00","822.00","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","316,063,102.00","3.13","316,063,102.00","1,857,010.00","170.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","250,429,929.12","2.48","250,429,929.12","1,733,319.00","144.48","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","235,607,372.70","2.34","235,607,372.70","374,962.00","628.35","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","208,545,180.80","2.07","208,545,180.80","805,816.00","258.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","196,534,970.10","1.95","196,534,970.10","3,312,015.00","59.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","179,212,557.73","1.78","179,212,557.73","587,987.00","304.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","163,642,563.76","1.62","163,642,563.76","851,684.00","192.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","163,317,870.10","1.62","163,317,870.10","902,558.00","180.95","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","160,494,858.00","1.59","160,494,858.00","463,590.00","346.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","153,507,814.20","1.52","153,507,814.20","723,411.00","212.20","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","147,615,185.68","1.46","147,615,185.68","583,367.00","253.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","140,358,427.00","1.39","140,358,427.00","216,820.00","647.35","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","136,723,542.44","1.36","136,723,542.44","638,537.00","214.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","129,433,066.56","1.28","129,433,066.56","2,007,648.00","64.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","124,357,642.14","1.23","124,357,642.14","1,132,377.00","109.82","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","112,972,592.81","1.12","112,972,592.81","347,897.00","324.73","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","112,411,116.60","1.11","112,411,116.60","324,372.00","346.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","110,810,433.52","1.10","110,810,433.52","1,707,929.00","64.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","110,538,301.00","1.10","110,538,301.00","134,300.00","823.07","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","110,094,129.00","1.09","110,094,129.00","1,490,175.00","73.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","109,843,568.16","1.09","109,843,568.16","247,056.00","444.61","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","103,241,524.32","1.02","103,241,524.32","112,068.00","921.24","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","99,214,972.56","0.98","99,214,972.56","296,802.00","334.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","97,511,979.60","0.97","97,511,979.60","1,517,460.00","64.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
