date,Ticker,Name,Price
2020-01-01,SP50-SPX,,3230.78
2020-01-02,SP50-SPX,,3257.85
2020-01-03,SP50-SPX,,3234.85
2020-01-06,SP50-SPX,,3246.28
2020-01-07,SP50-SPX,,3237.18
2020-01-08,SP50-SPX,,3253.05
2020-01-09,SP50-SPX,,3274.7
2020-01-10,SP50-SPX,,3265.35
2020-01-13,SP50-SPX,,3288.13
2020-01-14,SP50-SPX,,3283.15
2020-01-15,SP50-SPX,,3289.29
2020-01-16,SP50-SPX,,3316.81
2020-01-17,SP50-SPX,,3329.62
2020-01-20,SP50-SPX,,3329.62
2020-01-21,SP50-SPX,,3320.79
2020-01-22,SP50-SPX,,3321.75
2020-01-23,SP50-SPX,,3325.54
2020-01-24,SP50-SPX,,3295.47
2020-01-27,SP50-SPX,,3243.63
2020-01-28,SP50-SPX,,3276.24
2020-01-29,SP50-SPX,,3273.4
2020-01-30,SP50-SPX,,3283.66
2020-01-31,SP50-SPX,,3225.52
2020-02-03,SP50-SPX,,3248.92
2020-02-04,SP50-SPX,,3297.59
2020-02-05,SP50-SPX,,3334.69
2020-02-06,SP50-SPX,,3345.78
2020-02-07,SP50-SPX,,3327.71
2020-02-10,SP50-SPX,,3352.09
2020-02-11,SP50-SPX,,3357.75
2020-02-12,SP50-SPX,,3379.45
2020-02-13,SP50-SPX,,3373.94
2020-02-14,SP50-SPX,,3380.16
2020-02-17,SP50-SPX,,3380.16
2020-02-18,SP50-SPX,,3370.29
2020-02-19,SP50-SPX,,3386.15
2020-02-20,SP50-SPX,,3373.23
2020-02-21,SP50-SPX,,3337.75
2020-02-24,SP50-SPX,,3225.89
2020-02-25,SP50-SPX,,3128.21
2020-02-26,SP50-SPX,,3116.39
2020-02-27,SP50-SPX,,2978.76
2020-02-28,SP50-SPX,,2954.22
2020-03-02,SP50-SPX,,3090.23
2020-03-03,SP50-SPX,,3003.37
2020-03-04,SP50-SPX,,3130.12
2020-03-05,SP50-SPX,,3023.94
2020-03-06,SP50-SPX,,2972.37
2020-03-09,SP50-SPX,,2746.56
2020-03-10,SP50-SPX,,2882.23
2020-03-11,SP50-SPX,,2741.38
2020-03-12,SP50-SPX,,2480.64
2020-03-13,SP50-SPX,,2711.02
2020-03-16,SP50-SPX,,2386.13
2020-03-17,SP50-SPX,,2529.19
2020-03-18,SP50-SPX,,2398.1
