Ticker,Name,Return,Std Dev,Average Return,Sharpe Ratio,Market Cap (millions),Return (rank),Sharpe Ratio (rank),Blended rank,Weight,portfolio
TRGP-USA,Targa Resources,64.85,1.17,4.99,4.24,29785.0,5.0,1.0,3.0,0.1431573135219184,Long Momentum
VST-USA,Vistra,116.99,2.94,9.0,3.04,29948.0,3.0,3.0,3.0,0.14394074955025726,Long Momentum
NVDA-USA,NVIDIA,129.14,3.33,9.93,2.97,3159624.0,2.0,4.0,3.0,15.18627777671237,Long Momentum
CEG-USA,Constellation Energy,90.21,2.82,6.94,2.44,67107.0,4.0,8.0,6.0,0.3225401322315051,Long Momentum
GLW-USA,Corning,53.3,1.76,4.1,2.3,39199.0,9.0,9.0,9.0,0.18840434892548866,Long Momentum
AMAT-USA,Applied Materials,60.1,2.17,4.62,2.11,203309.0,6.0,13.0,9.5,0.9771754324266478,Long Momentum
LLY-USA,Eli Lilly,51.13,1.55,3.93,2.51,903322.0,12.0,7.0,9.5,4.341687116509867,Long Momentum
IRM-USA,Iron Mountain,49.72,1.45,3.82,2.6,28677.0,14.0,6.0,10.0,0.13783187107161504,Long Momentum
APH-USA,Amphenol A,46.25,1.09,3.56,3.21,83736.0,19.0,2.0,10.5,0.4024650261900742,Long Momentum
SMCI-USA,Super Micro Computer,182.09,7.21,14.01,1.93,52565.0,1.0,22.0,11.5,0.2526461032492745,Long Momentum
NTAP-USA,NetApp,52.62,1.99,4.05,2.01,26832.0,10.0,16.5,13.25,0.12896414424777958,Long Momentum
LDOS-USA,Leidos,37.28,1.07,2.87,2.63,20141.0,31.0,5.0,18.0,0.09680481623787002,Long Momentum
KLAC-USA,KLA,52.55,2.13,4.04,1.87,115537.0,11.0,27.5,19.25,0.5553119534121835,Long Momentum
TT-USA,Trane Technologies,39.51,1.42,3.04,2.11,77186.0,26.0,13.0,19.5,0.3709833943764577,Long Momentum
FANG-USA,Diamondback Energy,40.83,1.54,3.14,2.01,37618.0,24.0,16.5,20.25,0.180805500086202,Long Momentum
TER-USA,Teradyne,55.06,2.29,4.24,1.82,24898.0,8.0,34.0,21.0,0.11966865173975909,Long Momentum
GM-USA,General Motors,40.82,1.57,3.14,1.97,56249.0,25.0,20.0,22.5,0.2703527187609329,Long Momentum
WDC-USA,Western Digital,50.65,2.1,3.9,1.83,25737.0,13.0,33.0,23.0,0.12370118442550324,Long Momentum
HWM-USA,Howmet Aerospace,47.28,1.94,3.64,1.85,32206.0,17.0,30.0,23.5,0.15479350140295128,Long Momentum
QCOM-USA,QUALCOMM,49.43,2.11,3.8,1.78,232329.0,15.0,35.5,25.25,1.116655883606976,Long Momentum
