,Momentum Value 6M,Momentum Value 12M,Annualized Std,Risk-Adjusted Momentum 6M,Risk-Adjusted Momentum 12M,Weighted Risk-Adjusted Momentum,Ticker,Market Cap (millions),Final Z-score,Clipped Z-score,Momentum Score,Weight_unnormalized,Final Weight,Capped Weight,Adjusted Final Weight
91175,1.01,1.64,0.21,4.78,7.8,6.29,NVDA,2551758.0,3.54,3.0,4.0,10207032.0,18.86,7.0,7.0
85673,0.12,0.33,0.09,1.42,3.77,2.59,MSFT,3143270.73,1.22,1.22,2.22,6965271.86,12.87,7.0,7.0
8645,0.25,0.45,0.12,1.99,3.61,2.8,AMZN,1890988.19,1.35,1.35,2.35,4434620.54,8.2,7.0,7.0
74931,0.4,0.99,0.14,2.93,7.21,5.07,LLY,751019.85,2.77,2.77,3.77,2830547.82,5.23,6.88,6.88
55805,0.3,0.37,0.12,2.45,3.04,2.74,GOOGL,997729.11,1.31,1.31,2.31,2304896.79,4.26,5.6,5.6
80695,0.29,0.58,0.16,1.8,3.58,2.69,META,1015056.01,1.28,1.28,2.28,2309874.08,4.27,5.61,5.61
11789,0.36,0.79,0.18,2.04,4.45,3.24,AVGO,668068.95,1.62,1.62,2.62,1753647.67,3.24,4.26,4.26
128641,0.23,0.27,0.08,3.01,3.56,3.28,WMT,556532.77,1.65,1.65,2.65,1475270.43,2.73,3.59,3.59
28819,0.22,0.52,0.08,2.67,6.17,4.42,COST,359114.67,2.36,2.36,3.36,1207220.14,2.23,2.93,2.93
69167,0.16,0.28,0.08,2.04,3.58,2.81,JPM,617954.24,1.35,1.35,2.35,1454020.92,2.69,3.53,3.53
18339,0.06,0.16,0.06,1.08,2.79,1.93,BRK.B,578661.7,0.8,0.8,1.8,1043771.41,1.93,2.54,2.54
116589,0.09,0.28,0.06,1.57,4.72,3.15,TMUS,205496.35,1.56,1.56,2.56,527060.94,0.97,1.28,1.28
88555,0.2,0.54,0.15,1.34,3.66,2.5,NFLX,267189.3,1.16,1.16,2.16,576267.63,1.07,1.4,1.4
13623,0.17,0.24,0.1,1.64,2.35,2.0,BAC,322824.87,0.84,0.84,1.84,594751.68,1.1,1.45,1.45
97725,0.17,0.65,0.1,1.65,6.46,4.05,PGR,126323.42,2.13,2.13,3.13,395687.22,0.73,0.96,0.96
6811,0.44,0.56,0.16,2.73,3.49,3.11,AMAT,162895.77,1.54,1.54,2.54,413984.44,0.77,1.01,1.01
102703,0.34,0.51,0.15,2.24,3.34,2.79,QCOM,186305.04,1.34,1.34,2.34,436109.1,0.81,1.06,1.06
12837,0.15,0.37,0.09,1.64,3.96,2.8,AXP,179490.99,1.35,1.35,2.35,421458.7,0.78,1.02,1.02
86983,0.53,0.84,0.18,2.98,4.71,3.85,MU,113722.76,2.0,2.0,3.0,341461.29,0.63,0.83,0.83
18863,0.22,0.49,0.09,2.47,5.51,3.99,BSX,108837.41,2.09,2.09,3.09,336391.45,0.62,0.82,0.82
127855,0.18,0.29,0.1,1.8,2.81,2.3,WFC,209213.79,1.04,1.04,2.04,425943.93,0.79,1.04,1.04
8907,0.35,1.26,0.19,1.84,6.53,4.18,ANET,97587.54,2.21,2.21,3.21,313661.38,0.58,0.76,0.76
93795,0.26,0.2,0.15,1.74,1.35,1.54,ORCL,373887.53,0.56,0.56,1.56,582433.79,1.08,1.42,1.42
71001,0.22,0.77,0.13,1.61,5.78,3.69,KKR,106479.33,1.91,1.91,2.91,309581.61,0.57,0.75,0.75
103751,0.11,0.42,0.08,1.46,5.3,3.38,REGN,116798.34,1.71,1.71,2.71,316598.19,0.59,0.77,0.77
45063,0.27,0.53,0.12,2.3,4.42,3.36,ETN,114838.55,1.7,1.7,2.7,309547.98,0.57,0.75,0.75
116065,0.16,0.27,0.07,2.26,3.84,3.05,TJX,127978.1,1.5,1.5,2.5,320181.97,0.59,0.78,0.78
10479,0.33,0.53,0.09,3.52,5.56,4.54,APH,74593.65,2.44,2.44,3.44,256600.03,0.47,0.62,0.62
56853,0.18,0.27,0.1,1.87,2.85,2.36,GS,163060.12,1.07,1.07,2.07,337685.17,0.62,0.82,0.82
71263,0.39,0.6,0.15,2.53,3.95,3.24,KLAC,102176.91,1.62,1.62,2.62,268028.97,0.5,0.65,0.65
118947,0.31,0.65,0.12,2.62,5.57,4.09,TT,74431.47,2.16,2.16,3.16,235063.45,0.43,0.57,0.57
79385,0.17,0.45,0.08,2.1,5.63,3.87,MCK,79087.28,2.02,2.02,3.02,238470.59,0.44,0.58,0.58
26461,0.3,0.6,0.11,2.79,5.55,4.17,CMG,71993.35,2.21,2.21,3.21,230801.48,0.43,0.56,0.56
66285,0.18,0.37,0.13,1.39,2.94,2.17,ISRG,153758.21,0.95,0.95,1.95,299785.97,0.55,0.73,0.73
52923,0.2,0.39,0.16,1.27,2.49,1.88,GE,181600.41,0.77,0.77,1.77,321551.51,0.59,0.78,0.78
23317,0.64,1.07,0.18,3.62,6.06,4.84,CEG,53176.97,2.63,2.63,3.63,192834.42,0.36,0.47,0.47
25413,0.15,0.27,0.06,2.39,4.27,3.33,CL,82109.09,1.68,1.68,2.68,219958.56,0.41,0.53,0.53
19911,0.13,0.33,0.1,1.31,3.34,2.32,C,125643.05,1.05,1.05,2.05,257424.33,0.48,0.63,0.63
75979,0.29,0.48,0.16,1.86,3.08,2.47,LRCX,111765.25,1.14,1.14,2.14,239163.41,0.44,0.58,0.58
31701,0.16,0.39,0.08,1.88,4.68,3.28,CTAS,77206.13,1.65,1.65,2.65,204402.45,0.38,0.5,0.5
85935,0.21,0.35,0.08,2.69,4.48,3.58,MSI,65935.94,1.84,1.84,2.84,187124.39,0.35,0.45,0.45
113445,0.08,0.32,0.1,0.84,3.29,2.06,T,136091.23,0.89,0.89,1.89,256532.45,0.47,0.62,0.62
30653,0.31,1.37,0.21,1.49,6.58,4.04,CRWD,53945.85,2.12,2.12,3.12,168426.34,0.31,0.41,0.41
128117,0.15,0.3,0.08,1.91,3.87,2.89,WM,80704.41,1.4,1.4,2.4,193827.84,0.36,0.47,0.47
124711,0.08,0.33,0.1,0.79,3.2,2.0,VRTX,129697.63,0.84,0.84,1.84,239105.16,0.44,0.58,0.58
16767,0.13,0.33,0.12,1.12,2.88,2.0,BKNG,126244.02,0.85,0.85,1.85,233143.04,0.43,0.57,0.57
106109,0.14,0.29,0.06,2.21,4.65,3.43,RSG,60414.18,1.74,1.74,2.74,165649.94,0.31,0.4,0.4
113969,0.17,0.42,0.1,1.73,4.3,3.01,TDG,70740.47,1.48,1.48,2.48,175552.35,0.32,0.43,0.43
120519,0.11,0.47,0.16,0.72,2.99,1.85,UBER,131827.85,0.75,0.75,1.75,231196.52,0.43,0.56,0.56
20959,0.11,0.26,0.12,0.93,2.18,1.56,CAT,167119.13,0.57,0.57,1.57,261785.91,0.48,0.64,0.64
52399,0.09,0.3,0.08,1.22,3.83,2.53,GD,80512.58,1.18,1.18,2.18,175170.21,0.32,0.43,0.43
40609,0.2,0.3,0.09,2.32,3.46,2.89,ECL,65355.5,1.4,1.4,2.4,156938.96,0.29,0.38,0.38
117113,0.52,0.57,0.1,5.39,5.96,5.67,TRGP,29741.05,3.15,3.0,4.0,118964.21,0.22,0.29,0.29
21221,0.04,0.25,0.08,0.55,3.29,1.92,CB,111752.44,0.79,0.79,1.79,200361.02,0.37,0.49,0.49
127593,0.21,0.27,0.09,2.37,3.11,2.74,WELL,67110.11,1.31,1.31,2.31,154915.63,0.29,0.38,0.38
59473,0.14,0.4,0.09,1.65,4.67,3.16,HLT,54700.07,1.57,1.57,2.57,140730.61,0.26,0.34,0.34
49779,0.24,0.78,0.13,1.8,5.78,3.79,FICO,39253.33,1.97,1.97,2.97,116501.65,0.22,0.28,0.28
56591,0.36,0.54,0.11,3.33,4.94,4.14,GRMN,34447.22,2.19,2.19,3.19,109723.94,0.2,0.27,0.27
128379,0.23,0.23,0.08,2.9,2.99,2.94,WMB,52345.48,1.44,1.44,2.44,127590.36,0.24,0.31,0.31
124973,1.1,2.06,0.18,6.06,11.41,8.74,VST,23974.74,5.07,3.0,4.0,95898.96,0.18,0.23,0.23
82267,0.09,0.12,0.06,1.34,1.83,1.59,MMC,109376.35,0.59,0.59,1.59,173472.12,0.32,0.42,0.42
62879,0.08,0.19,0.07,1.02,2.61,1.82,ICE,86783.35,0.73,0.73,1.73,150141.85,0.28,0.36,0.36
62355,0.38,0.52,0.14,2.75,3.75,3.25,HWM,38291.69,1.63,1.63,2.63,100597.84,0.19,0.24,0.24
66023,0.33,0.46,0.1,3.2,4.5,3.85,IRM,29691.47,2.01,2.01,3.01,89242.69,0.16,0.22,0.22
58949,0.16,0.4,0.08,1.98,5.05,3.51,HIG,32753.15,1.79,1.79,2.79,91526.73,0.17,0.22,0.22
16505,0.08,0.32,0.08,1.01,4.04,2.52,BK,48787.51,1.17,1.17,2.17,105971.97,0.2,0.26,0.26
42705,0.2,0.21,0.1,2.0,2.05,2.03,EMR,66191.97,0.86,0.86,1.86,123233.97,0.23,0.3,0.3
90389,0.48,0.65,0.13,3.6,4.91,4.25,NTAP,25196.06,2.26,2.26,3.26,82086.78,0.15,0.2,0.2
52661,0.31,0.81,0.11,2.83,7.42,5.13,GDDY,20267.3,2.81,2.81,3.81,77137.08,0.14,0.19,0.19
47683,0.3,0.36,0.1,2.91,3.46,3.18,FANG,35326.33,1.59,1.59,2.59,91367.62,0.17,0.22,0.22
93009,0.19,0.22,0.08,2.36,2.62,2.49,OKE,48320.13,1.15,1.15,2.15,103998.78,0.19,0.25,0.25
